search_id,date_utc,database_or_index,query,screened_result_count,included_source_ids,notes
Q01,2026-08-15,"arXiv; OpenReview","LLM agents long term memory generative agents MemoryBank MemGPT longitudinal",12,"S01;S02;S03;S06;S08;S09","Published version preferred where verified"
Q02,2026-08-15,"OpenReview; ACL Anthology","social intelligence language agents SOTOPIA AgentBench Reflexion",10,"S04;S05;S06","Interactive-agent primary studies"
Q03,2026-08-15,"arXiv; ACL Anthology","personality prompted LLM behavior Character-LLM social decision",9,"S11;S34","Prompt versus behavior evidence"
Q04,2026-08-15,"ACL Anthology; OpenReview","parametric contextual knowledge conflict DisentQA ROME MEMIT",12,"S12;S13;S14","Mechanism isolation and editing"
Q05,2026-08-15,"arXiv; ACL Anthology","sycophancy language models user beliefs truthful response",8,"S15","Potential prompt/social confound"
Q06,2026-08-15,"arXiv; ACL Anthology; OpenReview","language agent trajectory fine-tuning FireAct AgentTuning LoRA QLoRA",14,"S16;S17;S18;S19","Adapter precedents"
Q07,2026-08-15,"arXiv; ACL Anthology","long-term conversational memory LoCoMo LongMemEval sequential recovery consistency",11,"S08;S09;S10","Longitudinal metrics"
Q08,2026-08-15,"PubMed; DOI publisher pages","belief perseverance discredited information Ross Lepper Hubbard Anderson",10,"S21;S22","Human conceptual inspiration only"
Q09,2026-08-15,"PubMed; DOI publisher pages","biased assimilation attitude polarization Lord Ross Lepper",8,"S23","Contradictory-evidence control"
Q10,2026-08-15,"Science; Elsevier; PubMed","sunk cost investment commitment Arkes Blumer Sweis",11,"S24;S25","Action-cost operationalization"
Q11,2026-08-15,"PubMed; APA; Nature","romantic attachment Hazan Shaver autobiographical memory Conway reconsolidation Nader",12,"S26;S27;S28","No transfer as model equivalence"
Q12,2026-08-15,"ACM; PubMed; Science; arXiv","ELIZA anthropomorphism mind perception affective use ChatGPT",13,"S30;S31;S32;S33","Claims and safety boundary"
Q13,2026-08-15,"APA DOI index","cognitive consequences forced compliance Festinger Carlsmith",5,"S29","Terminology caution; no LLM dissonance claim"
Q14,2026-08-15,"OpenReview; arXiv","ReAct reasoning acting language models action before language",7,"S20","Action-policy architecture"
